
MSI

"Computer Name:","MSI"
Intel Comet Lake PCH-LP - SPI (flash) Controller [A0]

"Device Name:","Intel Comet Lake PCH-LP - SPI (flash) Controller [A0]"
"Original Device Name:","Intel Comet Lake PCH-LP - SPI (flash) Controller [A0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","0 [A0]"
"PCI Address (Bus:Device:Function) Number:","0:31:5"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_02A4&SUBSYS_129C1462&REV_00"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","FE010000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) SPI (flash) Controller - 02A4"
"Driver Provider:","INTEL"
"Driver Version:","10.1.27.2"
"DeviceInstanceId","PCI\VEN_8086&DEV_02A4&SUBSYS_129C1462&REV_00\3&11583659&2&FD"
"Location Paths","PCIROOT(0)#PCI(1F05)"

Video Adapter


Intel UHD Graphics

"Video Chipset:","Intel UHD Graphics"
"Video Chipset Codename:","Comet Lake-U GT2"
"Video Memory:","1024 MBytes"
"Video Card:","Intel UHD Graphics (Comet Lake-U GT2) - Integrated Graphics Controller [A0] [MSI]"
"Video Bus:","Integrated"
"Video RAMDAC:","Internal"
"Video BIOS Version:","Unknown"
"Memory Clock:","1330.0 MHz"
"Hardware ID:","PCI\VEN_8086&DEV_9BCA&SUBSYS_129C1462&REV_04"
"PCI Location (Bus:Dev:Fnc):","0:02:0"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics"
"Driver Provider:","Intel Corporation"
"Driver Version:","26.20.100.6911"
"Driver Date:","28-May-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_9BCA&SUBSYS_129C1462&REV_04\3&11583659&2&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

NVIDIA GeForce GTX 1650

"Video Chipset:","NVIDIA GeForce GTX 1650"
"Video Chipset Codename:","TU117M"
"Video Memory:","4096 MBytes of GDDR5 SDRAM [Micron]"
"Video Card:","NVIDIA GeForce GTX 1650 (TU117M) [MSI]"
"Video Bus:","PCIe v3.0 x16 (8.0 GT/s) @ x4 (2.5 GT/s)"
"Video BIOS Version:","90.17.25.00.02"
"Video Chipset Revision:","A1"
"Processor Clock:","300.0 MHz"
"Video Unit Clock:","540.0 MHz"
"Memory Clock:","202.5 MHz (Effective 810.0 MHz)"
"Memory Bus Width:","128-bit"
"Number Of ROPs:","32"
"Number Of Unified Shaders:","1024"
"NVIDIA SLI Status:","Not Present"
"Hardware ID:","PCI\VEN_10DE&DEV_1F91&SUBSYS_129C1462&REV_A1"
"PCI Location (Bus:Dev:Fnc):","2:00:0"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce GTX 1650 with Max-Q Design"
"Driver Provider:","NVIDIA"
"Driver Version:","26.21.14.3153 (GeForce 431.53)"
"Driver Date:","12-Jul-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1F91&SUBSYS_129C1462&REV_A1\4&2C9F902E&0&00E4"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

Monitor


Sharp [Unknown Model: SHP14A1]

"Monitor Name:","Sharp [Unknown Model: SHP14A1]"
"Monitor Name (Manuf):","LQ156D1JW42  "
"Serial Number:","Unknown"
"Date Of Manufacture:","Week: 22, Year: 2018"
"Monitor Hardware ID:","Monitor\SHP14A1"
"Max. Vertical Size:","19 cm"
"Max. Horizontal Size:","34 cm"
"Input Signal:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","Not Supported"
"Suspend:","Not Supported"
"Active Off:","Not Supported"
"Standard Colour Space (sRGB) Default:","Supported"
"Preferred Timing Mode:","Supported"
"Default GTF (Continuous Frequency):","Not Supported"
"DFP 1.x Compatible:","Yes"
"3840 x 2160","344 x 194 mm, Pixel Clock 533.28 MHz"

Drives


(S)ATA/ATAPI Drives


KINGSTON RBUSNS8154P3256GJ

"Host Controller:","Kingston Technology, Device ID: 5008"
"Drive Model:","KINGSTON RBUSNS8154P3256GJ"
"Drive Serial Number:","50026B7682F363F9"
"Drive Firmware Revision:","E8FK11.C"
"NVMe Version Supported:","v1.2"
"Drive Capacity:","244,198 MBytes (256 GB)"
"Drive Capacity [MB]:","244198"
"Volatile Write Cache:","Present"
"Compare Command:","Not Supported"
"Write Uncorrectable Command:","Supported"
"Dataset Management:","Supported"
"Write Zeroes:","Supported"
"Save field set to a non-zero value:","Supported"
"Reservations:","Not Supported"
"Timestamp:","Not Supported"
"Autonomous Power State Transitions:","Supported"
"Available Space Below Threshold:","OK"
"Temperature Exceeded Critical Threshold:","OK"
"Device Reliablity Degraded:","OK"
"Media In Read Only Mode:","OK"
"Volatile Memory Backup Device Failed:","OK"
"Drive Temperature:","24 °C"
"Warning Temperature Threshold:","84 °C"
"Critical Temperature Threshold:","88 °C"
"Time Above Warning Temperature Threshold:","0 minutes"
"Time Above Critical Temperature Threshold:","0 minutes"
"Spare Capacity Available:","100%"
"Device Health:","100%"
"Power Cycles:","143"
"Power On Hours:","32 hours"
"Unsafe Shutdowns:","11"
"Media Errors:","0"
"Total Host Reads:","1887 GBytes"
"Total Host Writes:","579 GBytes"

KINGSTON RBUSNS8154P3256GJ

"Host Controller:","Kingston Technology, Device ID: 5008"
"Drive Model:","KINGSTON RBUSNS8154P3256GJ"
"Drive Serial Number:","50026B7682F363F2"
"Drive Firmware Revision:","E8FK11.C"
"NVMe Version Supported:","v1.2"
"Drive Capacity:","244,198 MBytes (256 GB)"
"Drive Capacity [MB]:","244198"
"Volatile Write Cache:","Present"
"Compare Command:","Not Supported"
"Write Uncorrectable Command:","Supported"
"Dataset Management:","Supported"
"Write Zeroes:","Supported"
"Save field set to a non-zero value:","Supported"
"Reservations:","Not Supported"
"Timestamp:","Not Supported"
"Autonomous Power State Transitions:","Supported"
"Available Space Below Threshold:","OK"
"Temperature Exceeded Critical Threshold:","OK"
"Device Reliablity Degraded:","OK"
"Media In Read Only Mode:","OK"
"Volatile Memory Backup Device Failed:","OK"
"Drive Temperature:","22 °C"
"Warning Temperature Threshold:","84 °C"
"Critical Temperature Threshold:","88 °C"
"Time Above Warning Temperature Threshold:","0 minutes"
"Time Above Critical Temperature Threshold:","0 minutes"
"Spare Capacity Available:","100%"
"Device Health:","100%"
"Power Cycles:","143"
"Power On Hours:","23 hours"
"Unsafe Shutdowns:","10"
"Media Errors:","0"
"Total Host Reads:","751 GBytes"
"Total Host Writes:","57 GBytes"

SanDisk SD9SN8W2T00

"Drive Controller:","Serial ATA 6Gb/s @ 6Gb/s <-> USB"
"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Drive Model:","SanDisk SD9SN8W2T00"
"Drive Firmware Revision:","X61110RL"
"Drive Serial Number:","19271C455611"
"World Wide Name:","5001B444A8E2ED3C"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Media Rotation Rate:","SSD Drive (Non-rotating)"
"Nominal Form Factor:","M.2"
"ATA Major Version Supported:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3, ACS-4"
"ATA Minor Version Supported:","ACS-4 Revision 5"
"ATA Transport Version Supported:","SATA 3.3"
"Number of Cylinders:","16383"
"Number of Heads:","16"
"Sectors Per Track:","63"
"Number of Sectors:","16514064"
"Total 32-bit LBA Sectors:","268435455"
"Total 48-bit LBA Sectors:","3907029168"
"Logical Sector Size:","512 Bytes"
"Cache Buffer Size:","N/A"
"Sectors Per Interrupt:","Total: 1, Active: 1"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Supported, Max. Depth: 32"
"TRIM Command:","Supported (Deterministic Read After TRIM, Words = 0)"
"Fixed Drive:","Present"
"Removable Drive:","Not Present"
"Magnetic Storage:","Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Write Cache:","Present, Inactive"
"S.M.A.R.T. Feature:","Present, Active"
"Security Feature:","Present, Inactive"
"Removable Media Feature:","Not Present, Disabled"
"Power Management:","Present, Active"
"Advanced Power Management:","Present, Active"
"Packet Interface:","Not Present, Disabled"
"Look-Ahead Buffer:","Present, Active"
"Host Protected Area:","Not Present, Disabled"
"Power-Up In Standby:","Not Suppported, Inactive"
"Automatic Acoustic Management:","Not Suppported, Inactive"
"48-bit LBA:","Supported, Active"
"Host-Initiated Link Power Management:","Not Supported"
"Device-Initiated Link Power Management:","Supported, Disabled"
"In-Order Data Delivery:","Not Supported"
"Hardware Feature Control:","Supported, Disabled"
"Software Settings Preservation:","Supported, Disabled"
"NCQ Autosense:","Not Supported"
"Link Power State Device Sleep:","Supported, Enabled"
"Hybrid Information Feature:","Not Supported"
"Rebuild Assist:","Not Supported"
"Power Disable:","Not Supported"
"All Write Cache Non-Volatile:","Not Supported"
"Extended Number of User Addressable Sectors:","Not Supported"
"CFast Specification:","Not Supported"
"NCQ Priority Information:","Not Supported"
"Host Automatic Partial to Slumber Transitions:","Not Supported"
"Device Automatic Partial to Slumber Transitions:","Not Supported"
"NCQ Streaming:","Not Supported"
"NCQ Queue Management Command:","Not Supported"
"DevSleep to Reduced Power State:","Not Supported"
"Extended Power Conditions Feature:","Not Supported"
"Sense Data Reporting Feature:","Not Supported"
"Free-Fall Control Feature:","Not Supported"
"Write-Read-Verify Feature:","Not Supported"
"Security Feature:","Supported"
"Security Status:","Disabled"
"Security Locked:","Disabled"
"Security Frozen:","Disabled"
"Enhanced Security Erase:","Supported"
"Sanitize Feature:","Supported"
"Sanitize Device - Crypto Scramble:","Not Supported"
"Sanitize Device - Overwrite:","Not Supported"
"Sanitize Device - Block Erase:","Supported"
"Sanitize Device - Antifreeze Lock:","Not Supported"
"Device Encrypts All User Data:","Not Supported"
"Trusted Computing:","Not Supported"
"[05] Reallocated Sector Count:","100/Always OK, Worst: 100"
"[09] Power-On Hours/Cycle Count:","100/Always OK, Worst: 100 (247 hours / 10.3 days)"
"[0C] Power Cycle Count:","100/Always OK, Worst: 100 (Data = 483,0)"
"[A5] Initial Bad Block Count:","100/Always OK, Worst: 100 (Data = 983048,0)"
"[A6] Min W/E Cycle:","100/Always OK, Worst: 100"
"[A7] Max Bad Block per Die:","100/Always OK, Worst: 100 (Data = 62,0)"
"[A8] Max Erase Cycle:","100/Always OK, Worst: 100 (Data = 1,0)"
"[A9] Total Bad Block Count:","100/Always OK, Worst: 100 (Data = 1446,0)"
"[AA] Available Reserved Space/Block Count:","100/Always OK, Worst: 100"
"[AB] Program Fail Count (Total):","100/Always OK, Worst: 100"
"[AC] Erase Fail Count (Total):","100/Always OK, Worst: 100"
"[AD] Average Erase Cycle:","100/Always OK, Worst: 100"
"[AE] Unexpected Power Loss Count:","100/Always OK, Worst: 100 (Data = 296,0)"
"[B8] End-to-End Data Errors Corrected","100/Always OK, Worst: 100"
"[BB] Uncorrectable Error Count:","100/Always OK, Worst: 100"
"[BC] Command Timeout Count:","100/Always OK, Worst: 100"
"[C2] Temperature","68/Always OK, Worst: 54 (32.0 °C)"
"[C7] SATA CRC Error Count:","100/Always OK, Worst: 100"
"[E6] Percentage Total P/E Count:","100/Always OK, Worst: 100 (Data = 1,1)"
"[E8] Spare Block Remaining:","100/4, Worst: 100 (Data = 100,0)"
"[E9] Total GB Written To NAND:","100/Always OK, Worst: 100 (Data = 352,0)"
"[EA] Unknown","100/Always OK, Worst: 100 (Data = 414,0)"
"[F1] Total Host Writes:","253/Always OK, Worst: 253 (Data = 396,0)"
"[F2] Total Host Reads:","253/Always OK, Worst: 253 (Data = 565,0)"
"[F4] ECC Cumulative Threshold Events:","0/Always OK, Worst: 100"
"Drive Remaining Life","100%"
"Lifetime Power-On Resets:","483"
"Power-on Hours:","0"
"Logical Sectors Written:","832494858"
"Logical Sectors Read:","1186308429"
"Number of Write Commands:","12437564"
"Number of Read Commands:","26751963"
"Used Endurance Indicator:","0%"

SanDisk SES Device

"Drive Model:","SanDisk SES Device"
"Drive Firmware Revision:","1012"
"Device Type:","Enclosure"

SCSI Devices


SanDisk Extreme SSD

"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Device Description:","SanDisk Extreme SSD"
"Device Firmware Revision:","1012"
"Device Type:","Disk drive"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"SCSI Port Number:","2"
"SCSI Path ID:","0"
"SCSI Target ID:","0"
"SCSI Logical Unit Number:","0"
"SCSI Version:","SCSI-6"
"Removable Device:","Not Capable"
"Tagged Command Queuing:","Supported"
"Linked Commands:","Not Supported"
"Synchronous Data Transfer:","Not Supported"
"Relative Addressing:","Not Supported"
"Asynchronous Event Notification:","Not Supported"
"Self-Test Result:","OK"

Audio


Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]

"Audio Adapter:","Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]"
"Audio Controller Hardware ID:","PCI\VEN_8086&DEV_02C8&SUBSYS_129C1462&REV_00"
"High Definition Audio Codec:","RealTek ALC298"
"Audio Codec Hardware ID:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0298&SUBSYS_00000000"
"Driver Manufacturer:","Realtek"
"Driver Description:","Realtek High Definition Audio"
"Driver Provider:","Realtek Semiconductor Corp."
"Driver Version:","6.0.8703.1"
"Driver Date:","14-May-2019"
"DeviceInstanceId","HDAUDIO\FUNC_01&VEN_10EC&DEV_0298&SUBSYS_1462129C&REV_1001\4&8D68538&0&0001"

Network


Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]

"Network Card:","Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]"
"Vendor Description:","Microsoft"
"MAC Address:","34-13-E8-D5-AE-6C"
"Maximum Link Speed:","1 Mbps"
"Transmit Buffer Size:","9 Bytes"
"Receive Buffer Size:","9 Bytes"
"Hardware ID:","PCI\VEN_8086&DEV_02F0&SUBSYS_00748086&REV_00"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wi-Fi 6 AX201 160MHz"
"Driver Provider:","Intel"
"Driver Version:","21.10.2.2"
"Driver Date:","13-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02F0&SUBSYS_00748086&REV_00\3&11583659&2&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

Ports


Serial Ports


USB


Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.1 SuperSpeedPlus"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.387"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)#PCI(0200)#PCI(0000)#USBROOT(0)#USB(3)"

[Port4] : No Device Connected


Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : Synaptics WBDI Fingerprint Reader - USB 086

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics WBDI Fingerprint Reader - USB 086"
"Hardware ID:","USB\VID_06CB&PID_009B"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics WBDI Fingerprint Reader - USB 086"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","5.5.5.1086"
"Driver Date:","12-Feb-2018"
"DeviceInstanceId","USB\VID_06CB&PID_009B\E864940034F9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0026"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.10.1.1"
"Driver Date:","17-Apr-2019"
"DeviceInstanceId","USB\VID_8087&PID_0026\5&13132211&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Smart Battery


Battery #0

"Device Name:","BIF0_9"
"Manufacturer Name:","MSI"
"Serial Number:",""
"Unique ID:","MSIBIF0_9"
"Chemistry:","Lithium Ion"
"Designed Capacity:","80256 mWh"
"Full Charged Capacity:","82034 mWh"
"Wear Level:","0.0 %"
"Power Status:","Discharging "
"Current Capacity:","59690 mWh (72.8 %)"
"Current Voltage:","15.405 V"
"Discharge Rate:","-37742 mW"
