
DESKTOP-ABBBSF5

"Computer Name:","DESKTOP-ABBBSF5"
"[FE] Free Fall Protection:","100/Always OK, Worst: 100"
"Lifetime Power-On Resets:","107"
"Power-on Hours:","78"
"Logical Sectors Written:","1049061"
"Logical Sectors Read:","4043117"
"Number of Write Commands:","8201"
"Number of Read Commands:","25282"
"Spindle Motor Power-on Hours:","50"
"Head Flying Hours:","0"
"Head Load Events:","743"
"Number of Reallocated Logical Sectors:","0"
"Read Recovery Attempts:","0"
"Number of Mechanical Start Failures:","0"
"Number of Reallocation Candidate Logical Sectors:","0"
"Number of Reported Uncorrectable Errors:","0"
"Resets Between Command Acceptance and Completion:","0"

INTEL HBRPEKNX0203A

"Host Controller:","Intel NVM DIMM Controller"
"Drive Model:","INTEL HBRPEKNX0203A"
"Drive Serial Number:","BTTE909008FD1P0C-1"
"Drive Firmware Revision:","G001"
"NVMe Version Supported:","v1.3"
"Drive Capacity:","976,762 MBytes (1024 GB)"
"Drive Capacity [MB]:","976762"
"Volatile Write Cache:","Present"
"Compare Command:","Supported"
"Write Uncorrectable Command:","Supported"
"Dataset Management:","Supported"
"Write Zeroes:","Supported"
"Save field set to a non-zero value:","Supported"
"Reservations:","Not Supported"
"Timestamp:","Supported"
"Autonomous Power State Transitions:","Supported"
"Available Space Below Threshold:","OK"
"Temperature Exceeded Critical Threshold:","OK"
"Device Reliablity Degraded:","OK"
"Media In Read Only Mode:","OK"
"Volatile Memory Backup Device Failed:","OK"
"Drive Temperature:","38 °C"
"Warning Temperature Threshold:","77 °C"
"Critical Temperature Threshold:","80 °C"
"Time Above Warning Temperature Threshold:","0 minutes"
"Time Above Critical Temperature Threshold:","0 minutes"
"Spare Capacity Available:","100%"
"Device Health:","100%"
"Power Cycles:","152"
"Power On Hours:","98 hours"
"Unsafe Shutdowns:","65"
"Media Errors:","0"
"Total Host Reads:","776 GBytes"
"Total Host Writes:","604 GBytes"

Audio


Intel Kaby Lake-U/Y PCH - High Definition Audio Controller

"Audio Adapter:","Intel Kaby Lake-U/Y PCH - High Definition Audio Controller"
"Audio Controller Hardware ID:","PCI\VEN_8086&DEV_9D71&SUBSYS_8484103C&REV_21"
"High Definition Audio Codec:","Unknown 0"
"Audio Codec Hardware ID:","HDAUDIO\FUNC_04&VEN_0000&DEV_0000&SUBSYS_00000000"

Network


Intel, Device ID: 2723

"Network Card:","Intel, Device ID: 2723"
"Vendor Description:","Microsoft"
"MAC Address:","38-00-25-95-89-18"
"Maximum Link Speed:","173 Mbps"
"Transmit Buffer Size:","9 Bytes"
"Receive Buffer Size:","9 Bytes"
"Hardware ID:","PCI\VEN_8086&DEV_2723&SUBSYS_16541A56&REV_1A"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Killer(R) Wi-Fi 6 AX1650x 160MHz Wireless Network Adapter (200NGW)"
"Driver Provider:","Intel"
"Driver Version:","21.40.2.2"
"Driver Date:","01-Sep-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_2723&SUBSYS_16541A56&REV_1A\4&30F57B90&0&00E9"
"Location Paths","PCIROOT(0)#PCI(1D01)#PCI(0000)"

Ports


Serial Ports


USB


Intel(R) USB 3.0 eXtensible Host Controller - 1.0 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : USB Composite Device

"Device Manufacturer:","Quanta Computer"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_0408&PID_5300"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0408&PID_5300\200901010001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(4)"

[Port5] : No Device Connected


[Port6] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0029"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.40.0.1"
"Driver Date:","01-Aug-2019"
"DeviceInstanceId","USB\VID_8087&PID_0029\5&3598B561&0&6"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Smart Battery


Battery #0

"Device Name:","LK03052XL"
"Manufacturer Name:","333-1B-35-A"
"Serial Number:","  953"
"Unique ID:","  953333-1B-35-ALK03052XL"
"Chemistry:","Lithium Ion"
"Designed Capacity:","45923 mWh"
"Full Charged Capacity:","45923 mWh"
"Wear Level:","0.0 %"
"Power Status:","Discharging "
"Current Capacity:","45923 mWh (100.0 %)"
"Current Voltage:","12.134 V"
