
DESKTOP-4HH3VIE

"Computer Name:","DESKTOP-4HH3VIE"
"[A6] Min W/E Cycle:","100/Always OK, Worst: 100"
"[A7] Max Bad Block per Die:","100/Always OK, Worst: 100 (Data = 62,0)"
"[A8] Max Erase Cycle:","100/Always OK, Worst: 100 (Data = 1,0)"
"[A9] Total Bad Block Count:","100/Always OK, Worst: 100 (Data = 1446,0)"
"[AA] Available Reserved Space/Block Count:","100/Always OK, Worst: 100"
"[AB] Program Fail Count (Total):","100/Always OK, Worst: 100"
"[AC] Erase Fail Count (Total):","100/Always OK, Worst: 100"
"[AD] Average Erase Cycle:","100/Always OK, Worst: 100"
"[AE] Unexpected Power Loss Count:","100/Always OK, Worst: 100 (Data = 297,0)"
"[B8] End-to-End Data Errors Corrected","100/Always OK, Worst: 100"
"[BB] Uncorrectable Error Count:","100/Always OK, Worst: 100"
"[BC] Command Timeout Count:","100/Always OK, Worst: 100"
"[C2] Temperature","69/Always OK, Worst: 54 (31.0 °C)"
"[C7] SATA CRC Error Count:","100/Always OK, Worst: 100"
"[E6] Percentage Total P/E Count:","100/Always OK, Worst: 100 (Data = 1,1)"
"[E8] Spare Block Remaining:","100/4, Worst: 100 (Data = 100,0)"
"[E9] Total GB Written To NAND:","100/Always OK, Worst: 100 (Data = 352,0)"
"[EA] Unknown","100/Always OK, Worst: 100 (Data = 414,0)"
"[F1] Total Host Writes:","253/Always OK, Worst: 253 (Data = 396,0)"
"[F2] Total Host Reads:","253/Always OK, Worst: 253 (Data = 565,0)"
"[F4] ECC Cumulative Threshold Events:","0/Always OK, Worst: 100"
"Drive Remaining Life","100%"

Intel Optane+477GBSSD

"Drive Model:","Intel Optane+477GBSSD"
"Drive Firmware Revision:","17.5"
"Device Type:","Disk drive"
"Drive Capacity:","488,384 MBytes (512 GB)"
"Drive Capacity [MB]:","488384"

SanDisk SES Device

"Drive Model:","SanDisk SES Device"
"Drive Firmware Revision:","1012"
"Device Type:","Enclosure"

SCSI Devices


SanDisk Extreme SSD

"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Device Description:","SanDisk Extreme SSD"
"Device Firmware Revision:","1012"
"Device Type:","Disk drive"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"SCSI Port Number:","3"
"SCSI Path ID:","0"
"SCSI Target ID:","0"
"SCSI Logical Unit Number:","0"
"SCSI Version:","SCSI-6"
"Removable Device:","Not Capable"
"Tagged Command Queuing:","Supported"
"Linked Commands:","Not Supported"
"Synchronous Data Transfer:","Not Supported"
"Relative Addressing:","Not Supported"
"Asynchronous Event Notification:","Not Supported"
"Self-Test Result:","OK"

Audio


Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]

"Audio Adapter:","Intel Comet Lake PCH-LP - cAVS (Audio, Voice, Speech) [A0]"
"Audio Controller Hardware ID:","PCI\VEN_8086&DEV_02C8&SUBSYS_86B2103C&REV_00"
"High Definition Audio Codec:","Unknown 0"
"Audio Codec Hardware ID:","HDAUDIO\FUNC_04&VEN_0000&DEV_0000&SUBSYS_00000000"

Network


Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]

"Network Card:","Intel Comet Lake PCH-LP - CNVi: WiFi (sku 0) [A0]"
"Vendor Description:","Microsoft"
"MAC Address:","84-FD-D1-E9-B4-1B"
"Maximum Link Speed:","1 Mbps"
"Transmit Buffer Size:","9 Bytes"
"Receive Buffer Size:","9 Bytes"
"Hardware ID:","PCI\VEN_8086&DEV_02F0&SUBSYS_00748086&REV_00"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wi-Fi 6 AX201 160MHz"
"Driver Provider:","Intel"
"Driver Version:","21.20.0.5"
"Driver Date:","27-May-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_02F0&SUBSYS_00748086&REV_00\3&11583659&2&A3"
"Location Paths","PCIROOT(0)#PCI(1403)"

Ports


Serial Ports


USB


Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : Synaptics WBDI SGX

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics WBDI SGX"
"Hardware ID:","USB\VID_06CB&PID_00C9"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics WBDI SGX"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","6.0.20.1111"
"Driver Date:","19-May-2019"
"DeviceInstanceId","USB\VID_06CB&PID_00C9\4939C4C68025"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0026"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.20.0.4"
"Driver Date:","22-May-2019"
"DeviceInstanceId","USB\VID_8087&PID_0026\5&10E77298&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.0 SuperSpeed"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(15)"

[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Smart Battery


Battery #0

"Device Name:","SA04055XL"
"Manufacturer Name:","333-AC-3E-A"
"Serial Number:","25958"
"Unique ID:","25958333-AC-3E-ASA04055XL"
"Chemistry:","Lithium Ion"
"Designed Capacity:","56700 mWh"
"Full Charged Capacity:","56700 mWh"
"Wear Level:","0.0 %"
"Power Status:","Discharging "
"Current Capacity:","56700 mWh (100.0 %)"
"Current Voltage:","15.923 V"
"Discharge Rate:","-12111 mW"
