
LAPTOP-U5PI9T6R

"Computer Name:","LAPTOP-U5PI9T6R"
"Hardware ID:","USB\VID_1C7A&PID_0570"
"Driver Manufacturer:","Egis Technology Inc."
"Driver Description:","EgisTec Touch Fingerprint Sensor"
"Driver Provider:","Egis Technology Inc."
"Driver Version:","3.5.3.17"
"Driver Date:","24-Aug-2018"
"DeviceInstanceId","USB\VID_1C7A&PID_0570\5&386F46E1&0&8"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : Bluetooth USB Module

"Device Manufacturer:","Lite-On"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Bluetooth USB Module"
"Hardware ID:","USB\VID_04CA&PID_3016"
"Driver Manufacturer:","Qualcomm Atheros Communications"
"Driver Description:","Bluetooth USB Module"
"Driver Provider:","Qualcomm Atheros Communications"
"Driver Version:","10.0.0.815"
"Driver Date:","04-Nov-2018"
"DeviceInstanceId","USB\VID_04CA&PID_3016\5&386F46E1&0&14"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(14)"

[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.0 SuperSpeed"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(18)"

[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected


[Port23] : No Device Connected


[Port24] : No Device Connected


Smart Battery


Battery #0

"Device Name:","PABAS0241231"
"Manufacturer Name:","Simplo "
"Serial Number:","41167"
"Unique ID:","41167Simplo PABAS0241231"
"Chemistry:","Lithium Ion"
"Designed Capacity:","58751 mWh"
"Full Charged Capacity:","58659 mWh"
"Wear Level:","0.2 %"
"Power Status:","Charging On AC Power"
"Current Capacity:","7192 mWh (12.3 %)"
"Current Voltage:","16.027 V"
"Charge Rate:","41888 mW"
