
DESKTOP-TEIQM7R

"Computer Name:","DESKTOP-TEIQM7R"
"Driver Description:","Intel(R) Smart Sound Technology (Intel(R) SST) Audio Controller"
"Driver Provider:","Intel(R) Corporation"
"Driver Version:","10.23.0.2618"
"Driver Date:","30-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_A348&SUBSYS_863E103C&REV_10\3&11583659&2&FB"
"Location Paths","PCIROOT(0)#PCI(1F03)"

Intel Cannon Lake-H/S - SMBus Controller [B0]

"Device Name:","Intel Cannon Lake-H/S - SMBus Controller [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - SMBus Controller [B0]"
"Device Class:","SMBus (System Management Bus)"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:31:4"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A323&SUBSYS_863E103C&REV_10"
"Interrupt Line:","IRQ16"
"Interrupt Pin:","INTA#"
"Memory Base Address 0","6063120000"
"I/O Base Address 4","EFA0"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Capable"
"Driver Manufacturer:","Synaptics"
"Driver Description:","Synaptics SMBus Driver"
"Driver Provider:","Synaptics"
"Driver Version:","19.5.35.46"
"Driver Date:","26-Jun-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_A323&SUBSYS_863E103C&REV_10\3&11583659&2&FC"
"Location Paths","PCIROOT(0)#PCI(1F04)"

Intel Cannon Lake-H/S - SPI (flash) Controller [B0]

"Device Name:","Intel Cannon Lake-H/S - SPI (flash) Controller [B0]"
"Original Device Name:","Intel Cannon Lake-H/S - SPI (flash) Controller [B0]"
"Device Class:","Other Serial Bus Controller"
"Revision ID:","10 [B0]"
"PCI Address (Bus:Device:Function) Number:","0:31:5"
"PCI Latency Timer:","0"
"Hardware ID:","PCI\VEN_8086&DEV_A324&SUBSYS_863E103C&REV_10"
"Interrupt Line:","N/A"
"Interrupt Pin:","N/A"
"Memory Base Address 0","FE010000"
"Bus Mastering:","Disabled"
"Running At 66 MHz:","Not Capable"
"Fast Back-to-Back Transactions:","Not Capable"
"Driver Manufacturer:","INTEL"
"Driver Description:","Intel(R) SPI (flash) Controller - A324"
"Driver Provider:","INTEL"
"Driver Version:","10.1.16.6"
"DeviceInstanceId","PCI\VEN_8086&DEV_A324&SUBSYS_863E103C&REV_10\3&11583659&2&FD"
"Location Paths","PCIROOT(0)#PCI(1F05)"

Video Adapter


Intel UHD Graphics 630

"Video Chipset:","Intel UHD Graphics 630"
"Video Chipset Codename:","Coffee Lake-H GT2"
"Video Memory:","1024 MBytes"
"Video Card:","Intel UHD Graphics 630 (Coffee Lake-H GT2) - Integrated Graphics Controller [Hewlett-Packard]"
"Video Bus:","Integrated"
"Video RAMDAC:","Internal"
"Video BIOS Version:","Unknown"
"Memory Clock:","1330.0 MHz"
"Hardware ID:","PCI\VEN_8086&DEV_3E9B&SUBSYS_863E103C&REV_00"
"PCI Location (Bus:Dev:Fnc):","0:02:0"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) UHD Graphics 630"
"Driver Provider:","Intel Corporation"
"Driver Version:","26.20.100.6813"
"Driver Date:","19-Apr-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_8086&DEV_3E9B&SUBSYS_863E103C&REV_00\3&11583659&2&10"
"Location Paths","PCIROOT(0)#PCI(0200)"

NVIDIA GeForce GTX 1650

"Video Chipset:","NVIDIA GeForce GTX 1650"
"Video Chipset Codename:","TU117M"
"Video Memory:","4096 MBytes of GDDR5 SDRAM [Micron]"
"Video Card:","NVIDIA GeForce GTX 1650 (TU117M) [Hewlett-Packard]"
"Video Bus:","PCIe v3.0 x16 (8.0 GT/s) @ x8 (2.5 GT/s)"
"Video RAMDAC:","Integrated RAMDAC"
"Video BIOS Version:","90.17.1b.00.56"
"Video Chipset Revision:","A1"
"Processor Clock:","300.0 MHz"
"Video Unit Clock:","540.0 MHz"
"Memory Clock:","202.5 MHz (Effective 810.0 MHz)"
"Memory Bus Width:","128-bit"
"Number Of ROPs:","32"
"Number Of Unified Shaders:","1024"
"NVIDIA SLI Status:","Not Present"
"Hardware ID:","PCI\VEN_10DE&DEV_1F91&SUBSYS_863E103C&REV_A1"
"PCI Location (Bus:Dev:Fnc):","1:00:0"
"Driver Manufacturer:","NVIDIA"
"Driver Description:","NVIDIA GeForce GTX 1650 with Max-Q Design"
"Driver Provider:","NVIDIA"
"Driver Version:","26.21.14.3086 (GeForce 430.86)"
"Driver Date:","22-May-2019"
"DCH/UWD Driver:","Capable"
"DeviceInstanceId","PCI\VEN_10DE&DEV_1F91&SUBSYS_863E103C&REV_A1\4&24338806&0&0008"
"Location Paths","PCIROOT(0)#PCI(0100)#PCI(0000)"

Monitor


AU Optronics [Unknown Model: AUO30EB]

"Monitor Name:","AU Optronics [Unknown Model: AUO30EB]"
"Serial Number:","Unknown"
"Date Of Manufacture:","Week: 37, Year: 2017"
"Monitor Hardware ID:","Monitor\AUO30EB"
"Max. Vertical Size:","19 cm"
"Max. Horizontal Size:","34 cm"
"Input Signal:","Digital"
"Color Bit Depth:","8 Bits per Primary Color"
"Digital Video Interface Standard Supported:","DisplayPort"
"Gamma Factor:","2.20"
"Standby:","Not Supported"
"Suspend:","Not Supported"
"Active Off:","Not Supported"
"Standard Colour Space (sRGB) Default:","Not Supported"
"Preferred Timing Mode:","Supported"
"Default GTF (Continuous Frequency):","Not Supported"
"DFP 1.x Compatible:","Yes"
"3840 x 2160","344 x 193 mm, Pixel Clock 533.30 MHz"
"3840 x 2160","293 x 165 mm, Pixel Clock 533.30 MHz"

Drives


(S)ATA/ATAPI Drives


INTEL HBRPEKNX0203AHO

"Host Controller:","Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller"
"Drive Model:","INTEL HBRPEKNX0203AHO"
"Drive Serial Number:","PHTE9161014M1P0C-2"
"Drive Firmware Revision:","HPS2"
"NVMe Version Supported:","v1.0/1.1"
"Drive Capacity:","27,905 MBytes (29 GB)"
"Drive Capacity [MB]:","27905"
"Volatile Write Cache:","Not Present"
"Compare Command:","Not Supported"
"Write Uncorrectable Command:","Supported"
"Dataset Management:","Supported"
"Write Zeroes:","Not Supported"
"Save field set to a non-zero value:","Not Supported"
"Reservations:","Not Supported"
"Timestamp:","Supported"
"Autonomous Power State Transitions:","Supported"
"Available Space Below Threshold:","OK"
"Temperature Exceeded Critical Threshold:","OK"
"Device Reliablity Degraded:","OK"
"Media In Read Only Mode:","OK"
"Volatile Memory Backup Device Failed:","OK"
"Drive Temperature:","35 °C"
"Spare Capacity Available:","100%"
"Device Health:","100%"
"Power Cycles:","61"
"Power On Hours:","38 hours"
"Unsafe Shutdowns:","38"
"Media Errors:","0"
"Total Host Reads:","197 GBytes"
"Total Host Writes:","220 GBytes"

INTEL HBRPEKNX0203AH

"Host Controller:","Intel 82801HBM ICH8-M - SATA RAID 0/1 Controller"
"Drive Model:","INTEL HBRPEKNX0203AH"
"Drive Serial Number:","PHTE9161014M1P0C-1"
"Drive Firmware Revision:","HPS1"
"NVMe Version Supported:","v1.3"
"Drive Capacity:","976,762 MBytes (1024 GB)"
"Drive Capacity [MB]:","976762"
"Volatile Write Cache:","Present"
"Compare Command:","Supported"
"Write Uncorrectable Command:","Supported"
"Dataset Management:","Supported"
"Write Zeroes:","Supported"
"Save field set to a non-zero value:","Supported"
"Reservations:","Not Supported"
"Timestamp:","Supported"
"Autonomous Power State Transitions:","Supported"
"Available Space Below Threshold:","OK"
"Temperature Exceeded Critical Threshold:","OK"
"Device Reliablity Degraded:","OK"
"Media In Read Only Mode:","OK"
"Volatile Memory Backup Device Failed:","OK"
"Drive Temperature:","27 °C"
"Warning Temperature Threshold:","77 °C"
"Critical Temperature Threshold:","80 °C"
"Time Above Warning Temperature Threshold:","0 minutes"
"Time Above Critical Temperature Threshold:","0 minutes"
"Spare Capacity Available:","100%"
"Device Health:","100%"
"Power Cycles:","59"
"Power On Hours:","34 hours"
"Unsafe Shutdowns:","34"
"Media Errors:","0"
"Total Host Reads:","161 GBytes"
"Total Host Writes:","224 GBytes"

SanDisk SD9SN8W2T00

"Drive Controller:","Serial ATA 6Gb/s @ 6Gb/s <-> USB"
"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Drive Model:","SanDisk SD9SN8W2T00"
"Drive Firmware Revision:","X61110RL"
"Drive Serial Number:","19271C455611"
"World Wide Name:","5001B444A8E2ED3C"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"Media Rotation Rate:","SSD Drive (Non-rotating)"
"Nominal Form Factor:","M.2"
"ATA Major Version Supported:","ATA/ATAPI-5, ATA/ATAPI-6, ATA/ATAPI-7, ATA8-ACS, ACS-2, ACS-3, ACS-4"
"ATA Minor Version Supported:","ACS-4 Revision 5"
"ATA Transport Version Supported:","SATA 3.3"
"Number of Cylinders:","16383"
"Number of Heads:","16"
"Sectors Per Track:","63"
"Number of Sectors:","16514064"
"Total 32-bit LBA Sectors:","268435455"
"Total 48-bit LBA Sectors:","3907029168"
"Logical Sector Size:","512 Bytes"
"Cache Buffer Size:","N/A"
"Sectors Per Interrupt:","Total: 1, Active: 1"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Supported, Max. Depth: 32"
"TRIM Command:","Supported (Deterministic Read After TRIM, Words = 0)"
"Fixed Drive:","Present"
"Removable Drive:","Not Present"
"Magnetic Storage:","Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Write Cache:","Present, Active"
"S.M.A.R.T. Feature:","Present, Active"
"Security Feature:","Present, Inactive"
"Removable Media Feature:","Not Present, Disabled"
"Power Management:","Present, Active"
"Advanced Power Management:","Present, Active"
"Packet Interface:","Not Present, Disabled"
"Look-Ahead Buffer:","Present, Active"
"Host Protected Area:","Not Present, Disabled"
"Power-Up In Standby:","Not Suppported, Inactive"
"Automatic Acoustic Management:","Not Suppported, Inactive"
"48-bit LBA:","Supported, Active"
"Host-Initiated Link Power Management:","Not Supported"
"Device-Initiated Link Power Management:","Supported, Disabled"
"In-Order Data Delivery:","Not Supported"
"Hardware Feature Control:","Supported, Disabled"
"Software Settings Preservation:","Supported, Disabled"
"NCQ Autosense:","Not Supported"
"Link Power State Device Sleep:","Supported, Enabled"
"Hybrid Information Feature:","Not Supported"
"Rebuild Assist:","Not Supported"
"Power Disable:","Not Supported"
"All Write Cache Non-Volatile:","Not Supported"
"Extended Number of User Addressable Sectors:","Not Supported"
"CFast Specification:","Not Supported"
"NCQ Priority Information:","Not Supported"
"Host Automatic Partial to Slumber Transitions:","Not Supported"
"Device Automatic Partial to Slumber Transitions:","Not Supported"
"NCQ Streaming:","Not Supported"
"NCQ Queue Management Command:","Not Supported"
"DevSleep to Reduced Power State:","Not Supported"
"Extended Power Conditions Feature:","Not Supported"
"Sense Data Reporting Feature:","Not Supported"
"Free-Fall Control Feature:","Not Supported"
"Write-Read-Verify Feature:","Not Supported"
"Security Feature:","Supported"
"Security Status:","Disabled"
"Security Locked:","Disabled"
"Security Frozen:","Disabled"
"Enhanced Security Erase:","Supported"
"Sanitize Feature:","Supported"
"Sanitize Device - Crypto Scramble:","Not Supported"
"Sanitize Device - Overwrite:","Not Supported"
"Sanitize Device - Block Erase:","Supported"
"Sanitize Device - Antifreeze Lock:","Not Supported"
"Device Encrypts All User Data:","Not Supported"
"Trusted Computing:","Not Supported"
"[05] Reallocated Sector Count:","100/Always OK, Worst: 100"
"[09] Power-On Hours/Cycle Count:","100/Always OK, Worst: 100 (218 hours / 9.1 days)"
"[0C] Power Cycle Count:","100/Always OK, Worst: 100 (Data = 463,0)"
"[A5] Initial Bad Block Count:","100/Always OK, Worst: 100 (Data = 983048,0)"
"[A6] Min W/E Cycle:","100/Always OK, Worst: 100"
"[A7] Max Bad Block per Die:","100/Always OK, Worst: 100 (Data = 62,0)"
"[A8] Max Erase Cycle:","100/Always OK, Worst: 100 (Data = 1,0)"
"[A9] Total Bad Block Count:","100/Always OK, Worst: 100 (Data = 1446,0)"
"[AA] Available Reserved Space/Block Count:","100/Always OK, Worst: 100"
"[AB] Program Fail Count (Total):","100/Always OK, Worst: 100"
"[AC] Erase Fail Count (Total):","100/Always OK, Worst: 100"
"[AD] Average Erase Cycle:","100/Always OK, Worst: 100"
"[AE] Unexpected Power Loss Count:","100/Always OK, Worst: 100 (Data = 282,0)"
"[B8] End-to-End Data Errors Corrected","100/Always OK, Worst: 100"
"[BB] Uncorrectable Error Count:","100/Always OK, Worst: 100"
"[BC] Command Timeout Count:","100/Always OK, Worst: 100"
"[C2] Temperature","71/Always OK, Worst: 54 (29.0 °C)"
"[C7] SATA CRC Error Count:","100/Always OK, Worst: 100"
"[E6] Percentage Total P/E Count:","100/Always OK, Worst: 100 (Data = 1,1)"
"[E8] Spare Block Remaining:","100/4, Worst: 100 (Data = 100,0)"
"[E9] Total GB Written To NAND:","100/Always OK, Worst: 100 (Data = 351,0)"
"[EA] Unknown","100/Always OK, Worst: 100 (Data = 409,0)"
"[F1] Total Host Writes:","253/Always OK, Worst: 253 (Data = 392,0)"
"[F2] Total Host Reads:","253/Always OK, Worst: 253 (Data = 561,0)"
"[F4] ECC Cumulative Threshold Events:","0/Always OK, Worst: 100"
"Drive Remaining Life","100%"

Intel Optane+954GBSSD

"Drive Model:","Intel Optane+954GBSSD"
"Drive Firmware Revision:","17.5"
"Device Type:","Disk drive"
"Drive Capacity:","976,760 MBytes (1024 GB)"
"Drive Capacity [MB]:","976760"

SanDisk SES Device

"Drive Model:","SanDisk SES Device"
"Drive Firmware Revision:","1012"
"Device Type:","Enclosure"

SCSI Devices


SanDisk Extreme SSD

"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Device Description:","SanDisk Extreme SSD"
"Device Firmware Revision:","1012"
"Device Type:","Disk drive"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"SCSI Port Number:","3"
"SCSI Path ID:","0"
"SCSI Target ID:","0"
"SCSI Logical Unit Number:","0"
"SCSI Version:","SCSI-6"
"Removable Device:","Not Capable"
"Tagged Command Queuing:","Supported"
"Linked Commands:","Not Supported"
"Synchronous Data Transfer:","Not Supported"
"Relative Addressing:","Not Supported"
"Asynchronous Event Notification:","Not Supported"
"Self-Test Result:","OK"

Audio


Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]

"Audio Adapter:","Intel Cannon Lake-H/S - cAVS (Audio, Voice, Speech) [B0]"
"Audio Controller Hardware ID:","PCI\VEN_8086&DEV_A348&SUBSYS_863E103C&REV_10"
"High Definition Audio Codec:","RealTek ALC285"
"Audio Codec Hardware ID:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0285&SUBSYS_00000000"

NVIDIA, Device ID: 10FA

"Audio Adapter:","NVIDIA, Device ID: 10FA"
"Audio Controller Hardware ID:","PCI\VEN_10DE&DEV_10FA&SUBSYS_863E103C&REV_A1"

Network


Intel, Device ID: 2723

"Network Card:","Intel, Device ID: 2723"
"Vendor Description:","Microsoft"
"MAC Address:","DC-FB-48-51-F5-9F"
"Maximum Link Speed:","1 Mbps"
"Transmit Buffer Size:","9 Bytes"
"Receive Buffer Size:","9 Bytes"
"Hardware ID:","PCI\VEN_8086&DEV_2723&SUBSYS_008C8086&REV_1A"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wi-Fi 6 AX200 160MHz"
"Driver Provider:","Intel"
"Driver Version:","21.10.1.2"
"Driver Date:","24-Apr-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_2723&SUBSYS_008C8086&REV_1A\4&20F086F2&0&00EE"
"Location Paths","PCIROOT(0)#PCI(1D06)#PCI(0000)"

Ports


Serial Ports


USB


Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : Synaptics WBDI Fingerprint Reader - USB 102

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics WBDI Fingerprint Reader - USB 102"
"Hardware ID:","USB\VID_06CB&PID_00BB"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics WBDI Fingerprint Reader - USB 102"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","5.5.15.1102"
"Driver Date:","28-Jan-2019"
"DeviceInstanceId","USB\VID_06CB&PID_00BB\32AEB48684F2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(4)"

[Port5] : No Device Connected


[Port6] : USB Composite Device

"Device Manufacturer:","Quanta Computer"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_0408&PID_5255"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0408&PID_5255\01.00.00"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0029"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.10.1.1"
"Driver Date:","17-Apr-2019"
"DeviceInstanceId","USB\VID_8087&PID_0029\5&165B340A&0&7"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(7)"

[Port8] : No Device Connected


[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


[Port19] : No Device Connected


[Port20] : No Device Connected


[Port21] : No Device Connected


[Port22] : No Device Connected


[Port23] : No Device Connected


[Port24] : No Device Connected


Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.1 SuperSpeedPlus"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.18362.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1B00)#PCI(0000)#PCI(0200)#PCI(0000)#USBROOT(0)#USB(4)"

Smart Battery


Battery #0

"Device Name:","Primary"
"Manufacturer Name:","HP"
"Serial Number:","SerialNumber"
"Unique ID:","SerialNumberHPPrimary"
"Chemistry:","Lithium Ion"
"Designed Capacity:","82028 mWh"
"Full Charged Capacity:","82028 mWh"
"Wear Level:","0.0 %"
"Cycle Count:","3"
"Power Status:","Discharging "
"Current Capacity:","65107 mWh (79.4 %)"
"Current Voltage:","11.889 V"
