
LENOVO-PC

"Computer Name:","LENOVO-PC"
"Sectors Per Interrupt:","Total: 1, Active: 1"
"Max. PIO Transfer Mode:","4"
"Multiword DMA Mode:","Total: 2, Active: -"
"Singleword DMA Mode:","Total: -, Active: -"
"Ultra-DMA Mode:","Total: 6 (ATA-133), Active: 5 (ATA-100)"
"Max. Multiword DMA Transfer Rate:","16.7 MBytes/s"
"Max. PIO with IORDY Transfer Rate:","16.7 MBytes/s"
"Max. PIO w/o IORDY Transfer Rate:","16.7 MBytes/s"
"Native Command Queuing:","Supported, Max. Depth: 32"
"TRIM Command:","Supported (Deterministic Read After TRIM, Words = 0)"
"Fixed Drive:","Present"
"Removable Drive:","Not Present"
"Magnetic Storage:","Present"
"LBA Mode:","Supported"
"DMA Mode:","Supported"
"IORDY:","Supported"
"IORDY Disableable:","Supported"
"Write Cache:","Present, Inactive"
"S.M.A.R.T. Feature:","Present, Active"
"Security Feature:","Present, Inactive"
"Removable Media Feature:","Not Present, Disabled"
"Power Management:","Present, Active"
"Advanced Power Management:","Present, Active"
"Packet Interface:","Not Present, Disabled"
"Look-Ahead Buffer:","Present, Active"
"Host Protected Area:","Not Present, Disabled"
"Power-Up In Standby:","Not Suppported, Inactive"
"Automatic Acoustic Management:","Not Suppported, Inactive"
"48-bit LBA:","Supported, Active"
"Host-Initiated Link Power Management:","Not Supported"
"Device-Initiated Link Power Management:","Supported, Disabled"
"In-Order Data Delivery:","Not Supported"
"Hardware Feature Control:","Supported, Disabled"
"Software Settings Preservation:","Supported, Disabled"
"NCQ Autosense:","Not Supported"
"Link Power State Device Sleep:","Supported, Enabled"
"Hybrid Information Feature:","Not Supported"
"Rebuild Assist:","Not Supported"
"Power Disable:","Not Supported"
"All Write Cache Non-Volatile:","Not Supported"
"Extended Number of User Addressable Sectors:","Not Supported"
"CFast Specification:","Not Supported"
"NCQ Priority Information:","Not Supported"
"Host Automatic Partial to Slumber Transitions:","Not Supported"
"Device Automatic Partial to Slumber Transitions:","Not Supported"
"NCQ Streaming:","Not Supported"
"NCQ Queue Management Command:","Not Supported"
"DevSleep to Reduced Power State:","Not Supported"
"Extended Power Conditions Feature:","Not Supported"
"Sense Data Reporting Feature:","Not Supported"
"Free-Fall Control Feature:","Not Supported"
"Write-Read-Verify Feature:","Not Supported"
"Security Feature:","Supported"
"Security Status:","Disabled"
"Security Locked:","Disabled"
"Security Frozen:","Disabled"
"Enhanced Security Erase:","Supported"
"Sanitize Feature:","Supported"
"Sanitize Device - Crypto Scramble:","Not Supported"
"Sanitize Device - Overwrite:","Not Supported"
"Sanitize Device - Block Erase:","Supported"
"Sanitize Device - Antifreeze Lock:","Not Supported"
"Device Encrypts All User Data:","Not Supported"
"Trusted Computing:","Not Supported"
"[05] Reallocated Sector Count:","100/Always OK, Worst: 100"
"[09] Power-On Hours/Cycle Count:","100/Always OK, Worst: 100 (392 hours / 16.3 days)"
"[0C] Power Cycle Count:","100/Always OK, Worst: 100 (Data = 663,0)"
"[A5] Initial Bad Block Count:","100/Always OK, Worst: 100 (Data = 2883609,0)"
"[A6] Min W/E Cycle:","100/Always OK, Worst: 100"
"[A7] Max Bad Block per Die:","100/Always OK, Worst: 100 (Data = 62,0)"
"[A8] Max Erase Cycle:","100/Always OK, Worst: 100 (Data = 1,0)"
"[A9] Total Bad Block Count:","100/Always OK, Worst: 100 (Data = 1446,0)"
"[AA] Available Reserved Space/Block Count:","100/Always OK, Worst: 100"
"[AB] Program Fail Count (Total):","100/Always OK, Worst: 100"
"[AC] Erase Fail Count (Total):","100/Always OK, Worst: 100"
"[AD] Average Erase Cycle:","100/Always OK, Worst: 100"
"[AE] Unexpected Power Loss Count:","100/Always OK, Worst: 100 (Data = 415,0)"
"[B8] End-to-End Data Errors Corrected","100/Always OK, Worst: 100"
"[BB] Uncorrectable Error Count:","100/Always OK, Worst: 100"
"[BC] Command Timeout Count:","100/Always OK, Worst: 100"
"[C2] Temperature","74/Always OK, Worst: 75 (26.0 °C)"
"[C7] SATA CRC Error Count:","100/Always OK, Worst: 100"
"[E6] Percentage Total P/E Count:","100/Always OK, Worst: 100 (Data = 5,5)"
"[E8] Spare Block Remaining:","100/4, Worst: 100 (Data = 100,0)"
"[E9] Total GB Written To NAND:","100/Always OK, Worst: 100 (Data = 1155,0)"
"[EA] Unknown","100/Always OK, Worst: 100 (Data = 1232,0)"
"[F1] Total Host Writes:","253/Always OK, Worst: 253 (Data = 1192,0)"
"[F2] Total Host Reads:","253/Always OK, Worst: 253 (Data = 724,0)"
"[F4] ECC Cumulative Threshold Events:","0/Always OK, Worst: 100"
"Drive Remaining Life","100%"

SanDisk SES Device

"Drive Model:","SanDisk SES Device"
"Drive Firmware Revision:","1012"
"Device Type:","Enclosure"

SCSI Devices


SanDisk Extreme SSD

"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Device Description:","SanDisk Extreme SSD"
"Device Firmware Revision:","1012"
"Device Type:","Disk drive"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"SCSI Port Number:","1"
"SCSI Path ID:","0"
"SCSI Target ID:","0"
"SCSI Logical Unit Number:","0"
"SCSI Version:","SCSI-6"
"Removable Device:","Not Capable"
"Tagged Command Queuing:","Supported"
"Linked Commands:","Not Supported"
"Synchronous Data Transfer:","Not Supported"
"Relative Addressing:","Not Supported"
"Asynchronous Event Notification:","Not Supported"
"Self-Test Result:","OK"

Audio


Intel Lynx Point PCH - High Definition Audio Controller [C2]

"Audio Adapter:","Intel Lynx Point PCH - High Definition Audio Controller [C2]"
"Audio Controller Hardware ID:","PCI\VEN_8086&DEV_8C20&SUBSYS_369C17AA&REV_05"
"High Definition Audio Codec:","RealTek"
"Audio Codec Hardware ID:","HDAUDIO\FUNC_03&VEN_10EC&DEV_0282&SUBSYS_00000000"

Network


RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC

"Network Card:","RealTek Semiconductor RTL8168/8111 PCI-E Gigabit Ethernet NIC"
"Vendor Description:","Realtek PCIe GBE Family Controller"
"MAC Address:","F8-0F-41-E0-50-B5"
"Maximum Link Speed:","1000 Mbps"
"Transmit Buffer Size:","193792 Bytes"
"Receive Buffer Size:","775168 Bytes"
"Hardware ID:","PCI\VEN_10EC&DEV_8168&SUBSYS_369C17AA&REV_0C"
"Driver Manufacturer:","Realtek"
"Driver Description:","Realtek PCIe GBE Family Controller"
"Driver Provider:","Realtek"
"Driver Version:","8.20.815.2013"
"Driver Date:","15-Aug-2013"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8168&SUBSYS_369C17AA&REV_0C\01000000684CE00000"
"Location Paths","PCIROOT(0)#PCI(1C02)#PCI(0000)"

RealTek Semiconductor RTL8821AE Wireless LAN 802.11ac PCI-E NIC

"Network Card:","RealTek Semiconductor RTL8821AE Wireless LAN 802.11ac PCI-E NIC"
"Vendor Description:","Microsoft"
"MAC Address:","AC-B5-7D-2B-9B-EE"
"Maximum Link Speed:","54 Mbps"
"Transmit Buffer Size:","6201344 Bytes"
"Receive Buffer Size:","6201344 Bytes"
"Hardware ID:","PCI\VEN_10EC&DEV_8821&SUBSYS_A80317AA&REV_00"
"Driver Manufacturer:","Realtek Semiconductor Corp."
"Driver Description:","Realtek 8821AE Wireless LAN 802.11ac PCI-E NIC"
"Driver Provider:","Realtek Semiconductor Corp."
"Driver Version:","2012.14.417.2014"
"Driver Date:","30-Apr-2014"
"DeviceInstanceId","PCI\VEN_10EC&DEV_8821&SUBSYS_A80317AA&REV_00\00E04CFFFE872B0100"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

Ports


Serial Ports


USB


Renesas USB 3.0 eXtensible Host Controller - 0100 (Microsoft)


Root Hub


[Port1] : USB Composite Device

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","3.00"
"USB Device Speed:","USB 3.0 SuperSpeed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_8086&PID_0A66"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_8086&PID_0A66\036140023910"
"Location Paths","PCIROOT(0)#PCI(1C05)#PCI(0000)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


Intel(R) 8 Series/C220 Series  USB EHCI #2 - 8C2D


Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Device Manufacturer:","Intel"
"Product Name:","Intel Integrated Rate Matching Hub"
"Serial Number:",""
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","Generic USB Hub"
"Hardware ID:","USB\VID_8087&PID_8008"
"Driver Manufacturer:","(Generic USB Hub)"
"Driver Description:","Generic USB Hub"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_8008\5&1CD15E&0&1"
"Location Paths","PCIROOT(0)#PCI(1A00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port2] : No Device Connected


Intel(R) USB 3.0 eXtensible Host Controller - 0100 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : USB Composite Device

"Device Manufacturer:","Lite-On Technology Corp."
"Product Name:","Lenovo silver silk (wireless) 2.4G K&M kit"
"Serial Number:","N/A"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_17EF&PID_6032"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_17EF&PID_6032\5&E2016&0&2"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(2)"

[Port3] : No Device Connected


[Port4] : USB Composite Device

"Device Manufacturer:","-"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_2149&PID_5CF9"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_2149&PID_5CF9\5&E2016&0&4"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(4)"

[Port5] : Realtek Bluetooth 4.0 Adapter

"Device Manufacturer:","RealTek"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","3.00 (Connected to a USB 2.00 Port)"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Realtek Bluetooth 4.0 Adapter"
"Hardware ID:","USB\VID_0BDA&PID_0821"
"Driver Manufacturer:","Realtek Semiconductor Corp."
"Driver Description:","Realtek Bluetooth 4.0 Adapter"
"Driver Provider:","Realtek Semiconductor Corp."
"Driver Version:","1.3.810.3"
"Driver Date:","24-Feb-2014"
"DeviceInstanceId","USB\VID_0BDA&PID_0821\00E04C000001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.00 (Connected to a USB 2.00 Port)"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.16384"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(6)"

[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : USB Input Device

"Device Manufacturer:","Microsoft "
"Product Name:","Microsoft Basic Optical Mouse v2.0 "
"Serial Number:","N/A"
"USB Version Supported:","1.10"
"USB Device Speed:","USB 1.1 Low-speed"
"Driver Description:","USB Input Device"
"Hardware ID:","USB\VID_045E&PID_00CB"
"Driver Manufacturer:","(Standard system devices)"
"Driver Description:","USB Input Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17041"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_045E&PID_00CB\5&E2016&0&9"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port10] : Generic USB Hub

"Device Manufacturer:","Lite-On Technology"
"Product Name:","USB 1.1 2port downstream low power hub"
"Serial Number:","N/A"
"USB Version Supported:","1.10"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Generic USB Hub"
"Hardware ID:","USB\VID_04B3&PID_301A"
"Driver Manufacturer:","(Standard USB HUBs)"
"Driver Description:","Generic USB Hub"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17731"
"Driver Date:","16-Mar-2015"
"DeviceInstanceId","USB\VID_04B3&PID_301A\5&E2016&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port1] : USB Composite Device

"Device Manufacturer:","Lite-On Technology"
"Product Name:","USB Productivity Option Keyboard( has the hub in # 1 )"
"Serial Number:","N/A"
"USB Version Supported:","1.10"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_04B3&PID_301B"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_04B3&PID_301B\6&27674ED7&0&1"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port11] : Device General Failure


[Port12] : Device General Failure


[Port13] : Device General Failure


[Port14] : Device General Failure


[Port15] : Device General Failure


[Port16] : No Device Connected


[Port17] : No Device Connected


Intel(R) 8 Series/C220 Series  USB EHCI #1 - 8C26


Root Hub


[Port1] : Intel Integrated Rate Matching Hub

"Device Manufacturer:","Intel"
"Product Name:","Intel Integrated Rate Matching Hub"
"Serial Number:",""
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","Generic USB Hub"
"Hardware ID:","USB\VID_8087&PID_8000"
"Driver Manufacturer:","(Generic USB Hub)"
"Driver Description:","Generic USB Hub"
"Driver Provider:","Microsoft"
"Driver Version:","6.3.9600.17238"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_8000\5&4143347&0&1"
"Location Paths","PCIROOT(0)#PCI(1D00)#USBROOT(0)#USB(1)"

[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port2] : No Device Connected

