
DESKTOP-MKCPKTI

"Computer Name:","DESKTOP-MKCPKTI"
"[F1] Total Host Writes:","253/Always OK, Worst: 253 (Data = 392,0)"
"[F2] Total Host Reads:","253/Always OK, Worst: 253 (Data = 561,0)"
"[F4] ECC Cumulative Threshold Events:","0/Always OK, Worst: 100"
"Drive Remaining Life","100%"
"Lifetime Power-On Resets:","449"
"Power-on Hours:","0"
"Logical Sectors Written:","823122366"
"Logical Sectors Read:","1177176117"
"Number of Write Commands:","12427246"
"Number of Read Commands:","26742587"
"Used Endurance Indicator:","0%"

SanDisk SES Device

"Drive Model:","SanDisk SES Device"
"Drive Firmware Revision:","1012"
"Device Type:","Enclosure"

SCSI Devices


SanDisk Extreme SSD

"Host Controller:","USB Attached SCSI (UAS) Mass Storage Device"
"Device Description:","SanDisk Extreme SSD"
"Device Firmware Revision:","1012"
"Device Type:","Disk drive"
"Drive Capacity:","1,907,729 MBytes (2000 GB)"
"Drive Capacity [MB]:","1907729"
"SCSI Port Number:","1"
"SCSI Path ID:","0"
"SCSI Target ID:","0"
"SCSI Logical Unit Number:","0"
"SCSI Version:","SCSI-6"
"Removable Device:","Not Capable"
"Tagged Command Queuing:","Supported"
"Linked Commands:","Not Supported"
"Synchronous Data Transfer:","Not Supported"
"Relative Addressing:","Not Supported"
"Asynchronous Event Notification:","Not Supported"
"Self-Test Result:","OK"

Audio


Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [B1]

"Audio Adapter:","Intel Cannon Lake-LP - cAVS (Audio, Voice, Speech) [B1]"
"Audio Controller Hardware ID:","PCI\VEN_8086&DEV_9DC8&SUBSYS_857F103C&REV_11"
"High Definition Audio Codec:","RealTek ALC285"
"Audio Codec Hardware ID:","HDAUDIO\FUNC_01&VEN_10EC&DEV_0285&SUBSYS_00000000"

Network


Intel, Device ID: 2723

"Network Card:","Intel, Device ID: 2723"
"Vendor Description:","Microsoft"
"MAC Address:","38-00-25-4F-9D-68"
"Maximum Link Speed:","2402 Mbps"
"Transmit Buffer Size:","9 Bytes"
"Receive Buffer Size:","9 Bytes"
"Hardware ID:","PCI\VEN_8086&DEV_2723&SUBSYS_00888086&REV_1A"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wi-Fi 6 AX200 160MHz"
"Driver Provider:","Intel"
"Driver Version:","21.0.1.1"
"Driver Date:","24-Mar-2019"
"DeviceInstanceId","PCI\VEN_8086&DEV_2723&SUBSYS_00888086&REV_1A\4&229505F&0&00E8"
"Location Paths","PCIROOT(0)#PCI(1D00)#PCI(0000)"

Ports


Serial Ports


COM3


COM4


COM5


USB





Root Hub


[Port1] : USB Composite Device

"Device Manufacturer:","Intel"
"Product Name:","XMM7560"
"Serial Number:","05022016"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_8087&PID_0B46"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0B46\05022016"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#USBROOT(0)#USB(1)"

[Port2] : USB Composite Device

"Device Manufacturer:","Intel"
"Product Name:","XMM7560"
"Serial Number:","05022016"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_8087&PID_0ADA"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0ADA\05022016"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#USBROOT(0)#USB(2)"

[Port3] : USB Composite Device

"Device Manufacturer:","HP Inc."
"Product Name:","XMM7560"
"Serial Number:","05022016"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_8087&PID_0AC9"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_8087&PID_0AC9\05022016"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#USBROOT(0)#USB(3)"

[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : No Device Connected


[Port9] : No Device Connected


Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.1 SuperSpeedPlus"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)#PCI(0200)#PCI(0000)#USBROOT(0)#USB(4)"

Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : No Device Connected


[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : Synaptics VFS7552 Touch Fingerprint Sensor with PurePrint(TM)

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics VFS7552 Touch Fingerprint Sensor with PurePrint(TM)"
"Hardware ID:","USB\VID_06CB&PID_00B7"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics VFS7552 Touch Fingerprint Sensor with PurePrint(TM)"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","5.5.16.1099"
"Driver Date:","17-Mar-2019"
"DeviceInstanceId","USB\VID_06CB&PID_00B7\02A2B4866409"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port9] : USB Composite Device

"Device Manufacturer:","Chicony"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_04F2&PID_B671"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","20-Jun-2006"
"DeviceInstanceId","USB\VID_04F2&PID_B671\200901010001"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(9)"

[Port10] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0029"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","21.0.1.5"
"Driver Date:","27-Mar-2019"
"DeviceInstanceId","USB\VID_8087&PID_0029\5&2CF704FE&0&10"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(10)"

[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Smart Battery


Battery #0

"Device Name:","Primary"
"Manufacturer Name:","Hewlett-Packard"
"Serial Number:","01891 2019/03/01"
"Unique ID:","01891 2019/03/01Hewlett-PackardPrimary"
"Chemistry:",""
"Designed Capacity:","54485 mWh"
"Full Charged Capacity:","54485 mWh"
"Wear Level:","0.0 %"
"Power Status:","Charging On AC Power"
"Current Capacity:","1401 mWh (2.6 %)"
"Current Voltage:","7.574 V"
"Charge Rate:","25218 mW"
