
DESKTOP-71E3E3M

"Computer Name:","DESKTOP-71E3E3M"
"Receive Buffer Size:","9 Bytes"
"Hardware ID:","PCI\VEN_8086&DEV_2526&SUBSYS_00148086&REV_29"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless-AC 9260 160MHz"
"Driver Provider:","Intel"
"Driver Version:","20.100.0.100"
"Driver Date:","11-Nov-2018"
"DeviceInstanceId","PCI\VEN_8086&DEV_2526&SUBSYS_00148086&REV_29\4&11C95301&0&00E4"
"Location Paths","PCIROOT(0)#PCI(1C04)#PCI(0000)"

Ports


Serial Ports


USB


Intel(R) USB 3.1 eXtensible Host Controller - 1.10 (Microsoft)


Root Hub


[Port1] : No Device Connected


[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : USB Attached SCSI (UAS) Mass Storage Device

"Device Manufacturer:","SanDisk"
"Product Name:","Extreme SSD"
"Serial Number:","313932383756343032333038"
"USB Version Supported:","3.10"
"USB Device Speed:","USB 3.1 SuperSpeedPlus"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Hardware ID:","USB\VID_0781&PID_558C"
"Driver Manufacturer:","USB Attached SCSI (UAS) Compatible Device"
"Driver Description:","USB Attached SCSI (UAS) Mass Storage Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_0781&PID_558C\MSFT30313932383756343032333038"
"Location Paths","PCIROOT(0)#PCI(1C00)#PCI(0000)#PCI(0200)#PCI(0000)#USBROOT(0)#USB(4)"

Intel(R) USB 3.0 eXtensible Host Controller - 1.0 (Microsoft)


Root Hub


[Port1] : USB Composite Device

"Device Manufacturer:","-"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.01"
"USB Device Speed:","USB 2.0 High-speed"
"Driver Description:","USB Composite Device"
"Hardware ID:","USB\VID_5986&PID_2115"
"Driver Manufacturer:","(Standard USB Host Controller)"
"Driver Description:","USB Composite Device"
"Driver Provider:","Microsoft"
"Driver Version:","10.0.17763.1"
"Driver Date:","21-Jun-2006"
"DeviceInstanceId","USB\VID_5986&PID_2115\5&2794E3A8&0&1"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(1)"

[Port2] : No Device Connected


[Port3] : No Device Connected


[Port4] : No Device Connected


[Port5] : Synaptics WBDI - SGX

"Device Manufacturer:","Synaptics"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Synaptics WBDI - SGX"
"Hardware ID:","USB\VID_06CB&PID_0081"
"Driver Manufacturer:","Synaptics Incorporated"
"Driver Description:","Synaptics WBDI - SGX"
"Driver Provider:","Synaptics Incorporated"
"Driver Version:","5.5.2808.1050"
"Driver Date:","24-Jul-2018"
"DeviceInstanceId","USB\VID_06CB&PID_0081\7007A480B6DC"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(5)"

[Port6] : No Device Connected


[Port7] : No Device Connected


[Port8] : Intel(R) Wireless Bluetooth(R)

"Device Manufacturer:","Intel"
"Product Name:","-"
"Serial Number:","-"
"USB Version Supported:","2.00"
"USB Device Speed:","USB 1.1 Full-speed"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Hardware ID:","USB\VID_8087&PID_0025"
"Driver Manufacturer:","Intel Corporation"
"Driver Description:","Intel(R) Wireless Bluetooth(R)"
"Driver Provider:","Intel Corporation"
"Driver Version:","20.70.0.4"
"Driver Date:","05-Jul-2018"
"DeviceInstanceId","USB\VID_8087&PID_0025\5&2794E3A8&0&8"
"Location Paths","PCIROOT(0)#PCI(1400)#USBROOT(0)#USB(8)"

[Port9] : No Device Connected


[Port10] : No Device Connected


[Port11] : No Device Connected


[Port12] : No Device Connected


[Port13] : No Device Connected


[Port14] : No Device Connected


[Port15] : No Device Connected


[Port16] : No Device Connected


[Port17] : No Device Connected


[Port18] : No Device Connected


Smart Battery


Battery #0

"Device Name:","BASE-BAT"
"Manufacturer Name:","Simplo"
"Serial Number:","123456789"
"Unique ID:","123456789SimploBASE-BAT"
"Chemistry:",""
"Designed Capacity:","60000 mWh"
"Full Charged Capacity:","60360 mWh"
"Wear Level:","0.0 %"
"Power Status:","Discharging "
"Current Capacity:","55460 mWh (91.9 %)"
"Current Voltage:","8.409 V"
"Discharge Rate:","-9008 mW"
